t	T-42	T-41	T-40	T-39	T-38	T-37	T-36	T-35	T-34	T-33	T-32	T-31	T-30	T-29	T-28	T-27	T-26	T-25	T-24	T-23	T-22	T-21	T-20	T-19	T-18	T-17	T-16
3	300	350	400	450	500	550	600	650	700	750	800	850	900	950	1000	1050	1100	1150	1200	1250	1300	1350	1400	1450	1500	1550	1600
2	200	250	300	350	400	450	500	550	600	650	700	750	800	850	900	950	1000	1050	1100	1150	1200	1250	1300	1350	1400	1450	1500
1	100	150	200	250	300	350	400	450	500	550	600	650	700	750	800	850	900	950	1000	1050	1100	1150	1200	1250	1300	1350	1400
0	0	50	100	150	200	250	300	350	400	450	500	550	600	650	700	750	800	850	900	950	1000	1050	1100	1150	1200	1250	1300
-1	-100	-50	0	50	100	150	200	250	300	350	400	450	500	550	600	650	700	750	800	850	900	950	1000	1050	1100	1150	1200
-2	-200	-150	-100	-50	0	50	100	150	200	250	300	350	400	450	500	550	600	650	700	750	800	850	900	950	1000	1050	1100
-3	-300	-250	-200	-150	-100	-50	0	50	100	150	200	250	300	350	400	450	500	550	600	650	700	750	800	850	900	950	1000
-4	-400	-350	-300	-250	-200	-150	-100	-50	0	50	100	150	200	250	300	350	400	450	500	550	600	650	700	750	800	850	900
-5	-500	-450	-400	-350	-300	-250	-200	-150	-100	-50	0	50	100	150	200	250	300	350	400	450	500	550	600	650	700	750	800
-6	-600	-550	-500	-450	-400	-350	-300	-250	-200	-150	-100	-50	0	50	100	150	200	250	300	350	400	450	500	550	600	650	700
-7	-700	-650	-600	-550	-500	-450	-400	-350	-300	-250	-200	-150	-100	-50	0	50	100	150	200	250	300	350	400	450	500	550	600
-8	-800	-750	-700	-650	-600	-550	-500	-450	-400	-350	-300	-250	-200	-150	-100	-50	0	50	100	150	200	250	300	350	400	450	500
-9	-900	-850	-800	-750	-700	-650	-600	-550	-500	-450	-400	-350	-300	-250	-200	-150	-100	-50	0	50	100	150	200	250	300	350	400
-10	-1000	-950	-900	-850	-800	-750	-700	-650	-600	-550	-500	-450	-400	-350	-300	-250	-200	-150	-100	-50	0	50	100	150	200	250	300
-11	-1100	-1050	-1000	-950	-900	-850	-800	-750	-700	-650	-600	-550	-500	-450	-400	-350	-300	-250	-200	-150	-100	-50	0	50	100	150	200